id,crime_group,year,num_crimes
4,NARCOTICS,2016,45
4,NARCOTICS,2017,35
4,NARCOTICS,2018,19
4,NON-CRIMINAL,2002,29
4,NON-CRIMINAL,2003,50
4,NON-CRIMINAL,2004,46
4,NON-CRIMINAL,2005,33
4,NON-CRIMINAL,2006,46
4,NON-CRIMINAL,2007,33
4,NON-CRIMINAL,2008,26
4,NON-CRIMINAL,2009,19
4,NON-CRIMINAL,2010,43
4,NON-CRIMINAL,2011,28
4,NON-CRIMINAL,2012,20
4,NON-CRIMINAL,2013,15
4,NON-CRIMINAL,2014,25
4,NON-CRIMINAL,2015,10
4,NON-CRIMINAL,2016,14
4,NON-CRIMINAL,2017,12
4,NON-CRIMINAL,2018,5
4,SEXUAL,2001,2
4,SEXUAL,2002,32
4,SEXUAL,2003,51
4,SEXUAL,2004,67
4,SEXUAL,2005,117
4,SEXUAL,2006,53
4,SEXUAL,2007,44
4,SEXUAL,2008,30
4,SEXUAL,2009,32
4,SEXUAL,2010,34
4,SEXUAL,2011,20
4,SEXUAL,2012,23
4,SEXUAL,2013,33
4,SEXUAL,2014,36
4,SEXUAL,2015,34
4,SEXUAL,2016,19
4,SEXUAL,2017,19
4,SEXUAL,2018,8
4,THEFT,2001,15
4,THEFT,2002,1129
4,THEFT,2003,1445
4,THEFT,2004,1536
4,THEFT,2005,1460
4,THEFT,2006,1402
4,THEFT,2007,1154
4,THEFT,2008,1239
4,THEFT,2009,1175
4,THEFT,2010,1179
4,THEFT,2011,1084
4,THEFT,2012,1163
4,THEFT,2013,1052
4,THEFT,2014,771
4,THEFT,2015,744
4,THEFT,2016,836
4,THEFT,2017,944
4,THEFT,2018,298
5,BATTERY,2001,1
5,BATTERY,2002,657
5,BATTERY,2003,813
5,BATTERY,2004,734
5,BATTERY,2005,680
5,BATTERY,2006,611
5,BATTERY,2007,554
5,BATTERY,2008,530
5,BATTERY,2009,463
5,BATTERY,2010,370
5,BATTERY,2011,394
5,BATTERY,2012,353
5,BATTERY,2013,274
5,BATTERY,2014,267
5,BATTERY,2015,251
5,BATTERY,2016,248
5,BATTERY,2017,238
5,BATTERY,2018,92
5,DECEPTIVE PRACTICE,2001,4
5,DECEPTIVE PRACTICE,2002,120
5,DECEPTIVE PRACTICE,2003,142
5,DECEPTIVE PRACTICE,2004,173
5,DECEPTIVE PRACTICE,2005,167
5,DECEPTIVE PRACTICE,2006,151
5,DECEPTIVE PRACTICE,2007,150
5,DECEPTIVE PRACTICE,2008,160
5,DECEPTIVE PRACTICE,2009,134
5,DECEPTIVE PRACTICE,2010,111
5,DECEPTIVE PRACTICE,2011,113
5,DECEPTIVE PRACTICE,2012,91
5,DECEPTIVE PRACTICE,2013,88
5,DECEPTIVE PRACTICE,2014,120
5,DECEPTIVE PRACTICE,2015,135
5,DECEPTIVE PRACTICE,2016,206
5,DECEPTIVE PRACTICE,2017,183
5,DECEPTIVE PRACTICE,2018,54
5,HOMICIDE,2001,2
5,HOMICIDE,2002,6
5,HOMICIDE,2003,1
5,HOMICIDE,2004,1
5,HOMICIDE,2005,1
5,HOMICIDE,2006,1
5,HOMICIDE,2008,2
5,HOMICIDE,2009,1
5,HOMICIDE,2013,1
5,NARCOTICS,2002,110
5,NARCOTICS,2003,189
5,NARCOTICS,2004,203
5,NARCOTICS,2005,187
5,NARCOTICS,2006,144
5,NARCOTICS,2007,131
5,NARCOTICS,2008,96
5,NARCOTICS,2009,97
5,NARCOTICS,2010,87
5,NARCOTICS,2011,60
5,NARCOTICS,2012,76
5,NARCOTICS,2013,49
5,NARCOTICS,2014,34
5,NARCOTICS,2015,41
5,NARCOTICS,2016,31
5,NARCOTICS,2017,20
5,NARCOTICS,2018,8
5,NON-CRIMINAL,2002,12
5,NON-CRIMINAL,2003,9
5,NON-CRIMINAL,2004,26
5,NON-CRIMINAL,2005,25
5,NON-CRIMINAL,2006,21
5,NON-CRIMINAL,2007,21
5,NON-CRIMINAL,2008,25
5,NON-CRIMINAL,2009,15
5,NON-CRIMINAL,2010,21
5,NON-CRIMINAL,2011,17
5,NON-CRIMINAL,2012,11
5,NON-CRIMINAL,2013,10
5,NON-CRIMINAL,2014,8
5,NON-CRIMINAL,2015,8
5,NON-CRIMINAL,2016,6
5,NON-CRIMINAL,2017,8
5,NON-CRIMINAL,2018,1
5,SEXUAL,2001,1
5,SEXUAL,2002,47
5,SEXUAL,2003,65
5,SEXUAL,2004,79
5,SEXUAL,2005,33
5,SEXUAL,2006,34
5,SEXUAL,2007,25
5,SEXUAL,2008,23
5,SEXUAL,2009,13
5,SEXUAL,2010,11
5,SEXUAL,2011,15
5,SEXUAL,2012,22
5,SEXUAL,2013,17
5,SEXUAL,2014,21
5,SEXUAL,2015,20
5,SEXUAL,2016,5
5,SEXUAL,2017,16
5,SEXUAL,2018,3
5,THEFT,2001,16
5,THEFT,2002,1109
5,THEFT,2003,1595
5,THEFT,2004,1474
5,THEFT,2005,1464
5,THEFT,2006,1398
5,THEFT,2007,1321
5,THEFT,2008,1340
5,THEFT,2009,1355
5,THEFT,2010,1136
5,THEFT,2011,1097
5,THEFT,2012,1142
5,THEFT,2013,1034
5,THEFT,2014,826
5,THEFT,2015,752
5,THEFT,2016,727
5,THEFT,2017,815
5,THEFT,2018,244
6,BATTERY,2001,5
6,BATTERY,2002,1384
6,BATTERY,2003,1848
6,BATTERY,2004,1695
6,BATTERY,2005,1601
6,BATTERY,2006,1656
6,BATTERY,2007,1694
6,BATTERY,2008,1657
6,BATTERY,2009,1451
6,BATTERY,2010,1357
6,BATTERY,2011,1470
6,BATTERY,2012,1487
6,BATTERY,2013,1334
6,BATTERY,2014,1122
6,BATTERY,2015,1180
6,BATTERY,2016,1244
6,BATTERY,2017,1188
6,BATTERY,2018,450
6,DECEPTIVE PRACTICE,2001,7
6,DECEPTIVE PRACTICE,2002,410
6,DECEPTIVE PRACTICE,2003,580
6,DECEPTIVE PRACTICE,2004,590
6,DECEPTIVE PRACTICE,2005,510
6,DECEPTIVE PRACTICE,2006,554
6,DECEPTIVE PRACTICE,2007,545
6,DECEPTIVE PRACTICE,2008,572
6,DECEPTIVE PRACTICE,2009,583
6,DECEPTIVE PRACTICE,2010,573
6,DECEPTIVE PRACTICE,2011,513
6,DECEPTIVE PRACTICE,2012,443
6,DECEPTIVE PRACTICE,2013,564
6,DECEPTIVE PRACTICE,2014,512
6,DECEPTIVE PRACTICE,2015,528
6,DECEPTIVE PRACTICE,2016,760
6,DECEPTIVE PRACTICE,2017,749
6,DECEPTIVE PRACTICE,2018,254
6,HOMICIDE,2001,5
6,HOMICIDE,2002,3
6,HOMICIDE,2003,4
6,HOMICIDE,2004,4
6,HOMICIDE,2005,3
6,HOMICIDE,2006,1
6,HOMICIDE,2007,6
6,HOMICIDE,2008,1
6,HOMICIDE,2010,1
6,HOMICIDE,2011,2
6,HOMICIDE,2012,3
6,HOMICIDE,2015,1
6,HOMICIDE,2016,1
6,HOMICIDE,2018,1
6,NARCOTICS,2002,241
6,NARCOTICS,2003,385
6,NARCOTICS,2004,385
6,NARCOTICS,2005,435
6,NARCOTICS,2006,330
6,NARCOTICS,2007,363
6,NARCOTICS,2008,226
6,NARCOTICS,2009,250
6,NARCOTICS,2010,315
6,NARCOTICS,2011,313
6,NARCOTICS,2012,319
6,NARCOTICS,2013,229
6,NARCOTICS,2014,202
6,NARCOTICS,2015,147
6,NARCOTICS,2016,93
6,NARCOTICS,2017,49
6,NARCOTICS,2018,9
6,NON-CRIMINAL,2002,33
6,NON-CRIMINAL,2003,75
6,NON-CRIMINAL,2004,63
6,NON-CRIMINAL,2005,64
6,NON-CRIMINAL,2006,45
6,NON-CRIMINAL,2007,71
6,NON-CRIMINAL,2008,47
6,NON-CRIMINAL,2009,56
6,NON-CRIMINAL,2010,74
6,NON-CRIMINAL,2011,95
6,NON-CRIMINAL,2012,60
6,NON-CRIMINAL,2013,77
6,NON-CRIMINAL,2014,72
6,NON-CRIMINAL,2015,63
6,NON-CRIMINAL,2016,66
6,NON-CRIMINAL,2017,36
6,NON-CRIMINAL,2018,13
6,SEXUAL,2002,126
6,SEXUAL,2003,144
6,SEXUAL,2004,204
6,SEXUAL,2005,142
6,SEXUAL,2006,107
6,SEXUAL,2007,131
6,SEXUAL,2008,57
6,SEXUAL,2009,78
6,SEXUAL,2010,55
6,SEXUAL,2011,64
6,SEXUAL,2012,56
6,SEXUAL,2013,35
6,SEXUAL,2014,40
6,SEXUAL,2015,38
6,SEXUAL,2016,38
6,SEXUAL,2017,40
6,SEXUAL,2018,15
6,THEFT,2001,35
6,THEFT,2002,3648
6,THEFT,2003,4835
6,THEFT,2004,4716
6,THEFT,2005,4060
6,THEFT,2006,4092
6,THEFT,2007,4205
6,THEFT,2008,4633
6,THEFT,2009,4340
6,THEFT,2010,4261
6,THEFT,2011,4312
6,THEFT,2012,4524
6,THEFT,2013,3935
6,THEFT,2014,3133
6,THEFT,2015,3054
6,THEFT,2016,3219
6,THEFT,2017,3194
6,THEFT,2018,1011
7,BATTERY,2001,3
7,BATTERY,2002,996
7,BATTERY,2003,1266
7,BATTERY,2004,1255
7,BATTERY,2005,1063
7,BATTERY,2006,1163
7,BATTERY,2007,1104
7,BATTERY,2008,1034
7,BATTERY,2009,917
7,BATTERY,2010,780
7,BATTERY,2011,717
7,BATTERY,2012,666
7,BATTERY,2013,624
7,BATTERY,2014,643
7,BATTERY,2015,534
7,BATTERY,2016,594
7,BATTERY,2017,618
7,BATTERY,2018,250
7,DECEPTIVE PRACTICE,2001,11
7,DECEPTIVE PRACTICE,2002,305
7,DECEPTIVE PRACTICE,2003,387
7,DECEPTIVE PRACTICE,2004,446
7,DECEPTIVE PRACTICE,2005,412
7,DECEPTIVE PRACTICE,2006,432
7,DECEPTIVE PRACTICE,2007,375
7,DECEPTIVE PRACTICE,2008,396
7,DECEPTIVE PRACTICE,2009,354
7,DECEPTIVE PRACTICE,2010,325
7,DECEPTIVE PRACTICE,2011,327
7,DECEPTIVE PRACTICE,2012,284
7,DECEPTIVE PRACTICE,2013,327
7,DECEPTIVE PRACTICE,2014,313
7,DECEPTIVE PRACTICE,2015,335
7,DECEPTIVE PRACTICE,2016,518
7,DECEPTIVE PRACTICE,2017,491
7,DECEPTIVE PRACTICE,2018,187
7,HOMICIDE,2001,1
7,HOMICIDE,2002,2
7,HOMICIDE,2003,3
7,HOMICIDE,2004,1
7,HOMICIDE,2005,1
7,HOMICIDE,2007,1
7,HOMICIDE,2009,2
7,HOMICIDE,2011,2
7,HOMICIDE,2014,1
7,HOMICIDE,2017,1
7,HOMICIDE,2018,1
7,NARCOTICS,2002,141
7,NARCOTICS,2003,177
7,NARCOTICS,2004,148
7,NARCOTICS,2005,164
7,NARCOTICS,2006,177
7,NARCOTICS,2007,167
7,NARCOTICS,2008,154
7,NARCOTICS,2009,139
7,NARCOTICS,2010,141
7,NARCOTICS,2011,120
7,NARCOTICS,2012,116
7,NARCOTICS,2013,93
7,NARCOTICS,2014,83
7,NARCOTICS,2015,71
7,NARCOTICS,2016,37
7,NARCOTICS,2017,35
7,NARCOTICS,2018,21
7,NON-CRIMINAL,2002,16
7,NON-CRIMINAL,2003,25
7,NON-CRIMINAL,2004,25
7,NON-CRIMINAL,2005,33
7,NON-CRIMINAL,2006,31
7,NON-CRIMINAL,2007,25
7,NON-CRIMINAL,2008,26
7,NON-CRIMINAL,2009,29
7,NON-CRIMINAL,2010,36
7,NON-CRIMINAL,2011,38
7,NON-CRIMINAL,2012,21
7,NON-CRIMINAL,2013,21
7,NON-CRIMINAL,2014,17
7,NON-CRIMINAL,2015,17
7,NON-CRIMINAL,2016,12
7,NON-CRIMINAL,2017,17
7,NON-CRIMINAL,2018,8
7,SEXUAL,2001,2
7,SEXUAL,2002,136
7,SEXUAL,2003,113
7,SEXUAL,2004,86
7,SEXUAL,2005,114
7,SEXUAL,2006,89
7,SEXUAL,2007,63
7,SEXUAL,2008,43
7,SEXUAL,2009,35
7,SEXUAL,2010,28
7,SEXUAL,2011,29
7,SEXUAL,2012,15
7,SEXUAL,2013,29
7,SEXUAL,2014,28
7,SEXUAL,2015,34
7,SEXUAL,2016,18
7,SEXUAL,2017,20
7,SEXUAL,2018,12
7,THEFT,2001,38
7,THEFT,2002,3797
7,THEFT,2003,5049
7,THEFT,2004,4425
7,THEFT,2005,3963
7,THEFT,2006,3835
7,THEFT,2007,4109
7,THEFT,2008,4248
7,THEFT,2009,3836
7,THEFT,2010,3728
7,THEFT,2011,3470
7,THEFT,2012,3338
7,THEFT,2013,2871
7,THEFT,2014,2532
7,THEFT,2015,2280
7,THEFT,2016,2604
7,THEFT,2017,2854
7,THEFT,2018,1000
8,BATTERY,2001,7
8,BATTERY,2002,2910
8,BATTERY,2003,3488
8,BATTERY,2004,3498
8,BATTERY,2005,3016
8,BATTERY,2006,3008
8,BATTERY,2007,3027
8,BATTERY,2008,2833
8,BATTERY,2009,2468
8,BATTERY,2010,2267
8,BATTERY,2011,2056
8,BATTERY,2012,2015
8,BATTERY,2013,1837
8,BATTERY,2014,1849
8,BATTERY,2015,1685
8,BATTERY,2016,1943
8,BATTERY,2017,2184
8,BATTERY,2018,908
8,DECEPTIVE PRACTICE,2001,22
8,DECEPTIVE PRACTICE,2002,877
8,DECEPTIVE PRACTICE,2003,1027
8,DECEPTIVE PRACTICE,2004,1067
8,DECEPTIVE PRACTICE,2005,991
8,DECEPTIVE PRACTICE,2006,1027
8,DECEPTIVE PRACTICE,2007,1068
8,DECEPTIVE PRACTICE,2008,1103
8,DECEPTIVE PRACTICE,2009,1058
8,DECEPTIVE PRACTICE,2010,946
8,DECEPTIVE PRACTICE,2011,1324
8,DECEPTIVE PRACTICE,2012,1252
8,DECEPTIVE PRACTICE,2013,1171
8,DECEPTIVE PRACTICE,2014,1107
8,DECEPTIVE PRACTICE,2015,1203
8,DECEPTIVE PRACTICE,2016,1577
8,DECEPTIVE PRACTICE,2017,1766
8,DECEPTIVE PRACTICE,2018,791
8,HOMICIDE,2001,5
8,HOMICIDE,2002,8
8,HOMICIDE,2003,10
8,HOMICIDE,2004,6
