Community Area,Primary Type,Year,ID
1.0,HOMICIDE,2008,5
1.0,HOMICIDE,2009,2
1.0,HOMICIDE,2010,3
1.0,HOMICIDE,2011,4
1.0,HOMICIDE,2012,6
1.0,HOMICIDE,2013,4
1.0,HOMICIDE,2014,8
1.0,HOMICIDE,2015,6
1.0,HOMICIDE,2016,5
1.0,HOMICIDE,2017,4
1.0,INTERFERENCE WITH PUBLIC OFFICER,2002,5
1.0,INTERFERENCE WITH PUBLIC OFFICER,2003,12
1.0,INTERFERENCE WITH PUBLIC OFFICER,2004,10
1.0,INTERFERENCE WITH PUBLIC OFFICER,2005,18
1.0,INTERFERENCE WITH PUBLIC OFFICER,2006,16
1.0,INTERFERENCE WITH PUBLIC OFFICER,2007,8
1.0,INTERFERENCE WITH PUBLIC OFFICER,2008,9
1.0,INTERFERENCE WITH PUBLIC OFFICER,2009,15
1.0,INTERFERENCE WITH PUBLIC OFFICER,2010,17
1.0,INTERFERENCE WITH PUBLIC OFFICER,2011,21
1.0,INTERFERENCE WITH PUBLIC OFFICER,2012,33
1.0,INTERFERENCE WITH PUBLIC OFFICER,2013,27
1.0,INTERFERENCE WITH PUBLIC OFFICER,2014,20
1.0,INTERFERENCE WITH PUBLIC OFFICER,2015,15
1.0,INTERFERENCE WITH PUBLIC OFFICER,2016,12
1.0,INTERFERENCE WITH PUBLIC OFFICER,2017,15
1.0,INTERFERENCE WITH PUBLIC OFFICER,2018,5
1.0,INTIMIDATION,2002,2
1.0,INTIMIDATION,2003,5
1.0,INTIMIDATION,2004,9
1.0,INTIMIDATION,2005,3
1.0,INTIMIDATION,2006,4
1.0,INTIMIDATION,2007,1
1.0,INTIMIDATION,2008,2
1.0,INTIMIDATION,2009,3
1.0,INTIMIDATION,2010,1
1.0,INTIMIDATION,2011,3
1.0,INTIMIDATION,2012,4
1.0,INTIMIDATION,2013,2
1.0,INTIMIDATION,2014,1
1.0,INTIMIDATION,2015,1
1.0,INTIMIDATION,2016,1
1.0,INTIMIDATION,2017,2
1.0,KIDNAPPING,2002,10
1.0,KIDNAPPING,2003,7
1.0,KIDNAPPING,2004,14
1.0,KIDNAPPING,2005,4
1.0,KIDNAPPING,2006,6
1.0,KIDNAPPING,2007,2
1.0,KIDNAPPING,2008,6
1.0,KIDNAPPING,2009,6
1.0,KIDNAPPING,2011,3
1.0,KIDNAPPING,2012,4
1.0,KIDNAPPING,2013,2
1.0,KIDNAPPING,2014,2
1.0,KIDNAPPING,2016,1
1.0,KIDNAPPING,2017,2
1.0,LIQUOR LAW VIOLATION,2002,23
1.0,LIQUOR LAW VIOLATION,2003,32
1.0,LIQUOR LAW VIOLATION,2004,23
1.0,LIQUOR LAW VIOLATION,2005,28
1.0,LIQUOR LAW VIOLATION,2006,42
1.0,LIQUOR LAW VIOLATION,2007,20
1.0,LIQUOR LAW VIOLATION,2008,14
1.0,LIQUOR LAW VIOLATION,2009,17
1.0,LIQUOR LAW VIOLATION,2010,12
1.0,LIQUOR LAW VIOLATION,2011,14
1.0,LIQUOR LAW VIOLATION,2012,21
1.0,LIQUOR LAW VIOLATION,2013,11
1.0,LIQUOR LAW VIOLATION,2014,8
1.0,LIQUOR LAW VIOLATION,2015,6
1.0,LIQUOR LAW VIOLATION,2016,5
1.0,LIQUOR LAW VIOLATION,2017,2
1.0,MOTOR VEHICLE THEFT,2001,7
1.0,MOTOR VEHICLE THEFT,2002,218
1.0,MOTOR VEHICLE THEFT,2003,191
1.0,MOTOR VEHICLE THEFT,2004,259
1.0,MOTOR VEHICLE THEFT,2005,187
1.0,MOTOR VEHICLE THEFT,2006,200
1.0,MOTOR VEHICLE THEFT,2007,165
1.0,MOTOR VEHICLE THEFT,2008,176
1.0,MOTOR VEHICLE THEFT,2009,136
1.0,MOTOR VEHICLE THEFT,2010,184
1.0,MOTOR VEHICLE THEFT,2011,175
1.0,MOTOR VEHICLE THEFT,2012,142
1.0,MOTOR VEHICLE THEFT,2013,91
1.0,MOTOR VEHICLE THEFT,2014,117
1.0,MOTOR VEHICLE THEFT,2015,113
1.0,MOTOR VEHICLE THEFT,2016,112
1.0,MOTOR VEHICLE THEFT,2017,124
1.0,MOTOR VEHICLE THEFT,2018,25
1.0,NARCOTICS,2002,626
1.0,NARCOTICS,2003,872
1.0,NARCOTICS,2004,779
1.0,NARCOTICS,2005,1078
1.0,NARCOTICS,2006,962
1.0,NARCOTICS,2007,870
1.0,NARCOTICS,2008,857
1.0,NARCOTICS,2009,676
1.0,NARCOTICS,2010,646
1.0,NARCOTICS,2011,475
1.0,NARCOTICS,2012,485
1.0,NARCOTICS,2013,362
1.0,NARCOTICS,2014,285
1.0,NARCOTICS,2015,218
1.0,NARCOTICS,2016,91
1.0,NARCOTICS,2017,67
1.0,NARCOTICS,2018,16
1.0,NON-CRIMINAL,2014,1
1.0,NON-CRIMINAL,2018,1
1.0,OBSCENITY,2008,1
1.0,OBSCENITY,2010,2
1.0,OBSCENITY,2011,2
1.0,OBSCENITY,2012,1
1.0,OBSCENITY,2016,2
1.0,OBSCENITY,2017,1
1.0,OBSCENITY,2018,1
1.0,OFFENSE INVOLVING CHILDREN,2001,9
1.0,OFFENSE INVOLVING CHILDREN,2002,39
1.0,OFFENSE INVOLVING CHILDREN,2003,62
1.0,OFFENSE INVOLVING CHILDREN,2004,60
1.0,OFFENSE INVOLVING CHILDREN,2005,55
1.0,OFFENSE INVOLVING CHILDREN,2006,41
1.0,OFFENSE INVOLVING CHILDREN,2007,46
1.0,OFFENSE INVOLVING CHILDREN,2008,37
1.0,OFFENSE INVOLVING CHILDREN,2009,39
1.0,OFFENSE INVOLVING CHILDREN,2010,30
1.0,OFFENSE INVOLVING CHILDREN,2011,29
1.0,OFFENSE INVOLVING CHILDREN,2012,26
1.0,OFFENSE INVOLVING CHILDREN,2013,23
1.0,OFFENSE INVOLVING CHILDREN,2014,30
1.0,OFFENSE INVOLVING CHILDREN,2015,23
1.0,OFFENSE INVOLVING CHILDREN,2016,33
1.0,OFFENSE INVOLVING CHILDREN,2017,25
1.0,OFFENSE INVOLVING CHILDREN,2018,14
1.0,OTHER NARCOTIC VIOLATION,2002,1
1.0,OTHER NARCOTIC VIOLATION,2003,1
1.0,OTHER NARCOTIC VIOLATION,2017,1
1.0,OTHER OFFENSE,2001,1
1.0,OTHER OFFENSE,2002,439
1.0,OTHER OFFENSE,2003,566
1.0,OTHER OFFENSE,2004,541
1.0,OTHER OFFENSE,2005,568
1.0,OTHER OFFENSE,2006,463
1.0,OTHER OFFENSE,2007,399
1.0,OTHER OFFENSE,2008,451
1.0,OTHER OFFENSE,2009,463
1.0,OTHER OFFENSE,2010,385
1.0,OTHER OFFENSE,2011,384
1.0,OTHER OFFENSE,2012,361
1.0,OTHER OFFENSE,2013,322
1.0,OTHER OFFENSE,2014,252
1.0,OTHER OFFENSE,2015,242
1.0,OTHER OFFENSE,2016,234
1.0,OTHER OFFENSE,2017,218
1.0,OTHER OFFENSE,2018,71
1.0,PROSTITUTION,2002,58
1.0,PROSTITUTION,2003,119
1.0,PROSTITUTION,2004,126
1.0,PROSTITUTION,2005,123
1.0,PROSTITUTION,2006,163
1.0,PROSTITUTION,2007,96
1.0,PROSTITUTION,2008,80
1.0,PROSTITUTION,2009,32
1.0,PROSTITUTION,2010,30
1.0,PROSTITUTION,2011,5
1.0,PROSTITUTION,2012,30
1.0,PROSTITUTION,2013,12
1.0,PROSTITUTION,2014,28
1.0,PROSTITUTION,2015,10
1.0,PROSTITUTION,2016,15
1.0,PROSTITUTION,2017,3
1.0,PUBLIC INDECENCY,2009,1
1.0,PUBLIC INDECENCY,2016,1
1.0,PUBLIC PEACE VIOLATION,2002,23
1.0,PUBLIC PEACE VIOLATION,2003,32
1.0,PUBLIC PEACE VIOLATION,2004,42
1.0,PUBLIC PEACE VIOLATION,2005,33
1.0,PUBLIC PEACE VIOLATION,2006,36
1.0,PUBLIC PEACE VIOLATION,2007,29
1.0,PUBLIC PEACE VIOLATION,2008,49
1.0,PUBLIC PEACE VIOLATION,2009,57
1.0,PUBLIC PEACE VIOLATION,2010,53
1.0,PUBLIC PEACE VIOLATION,2011,54
1.0,PUBLIC PEACE VIOLATION,2012,48
1.0,PUBLIC PEACE VIOLATION,2013,40
1.0,PUBLIC PEACE VIOLATION,2014,22
1.0,PUBLIC PEACE VIOLATION,2015,28
1.0,PUBLIC PEACE VIOLATION,2016,16
1.0,PUBLIC PEACE VIOLATION,2017,15
1.0,PUBLIC PEACE VIOLATION,2018,5
1.0,ROBBERY,2002,270
1.0,ROBBERY,2003,379
1.0,ROBBERY,2004,395
1.0,ROBBERY,2005,300
1.0,ROBBERY,2006,264
1.0,ROBBERY,2007,256
1.0,ROBBERY,2008,296
1.0,ROBBERY,2009,325
1.0,ROBBERY,2010,259
1.0,ROBBERY,2011,251
1.0,ROBBERY,2012,202
1.0,ROBBERY,2013,136
1.0,ROBBERY,2014,117
1.0,ROBBERY,2015,106
1.0,ROBBERY,2016,159
1.0,ROBBERY,2017,168
1.0,ROBBERY,2018,61
1.0,SEX OFFENSE,2001,3
1.0,SEX OFFENSE,2002,36
1.0,SEX OFFENSE,2003,37
1.0,SEX OFFENSE,2004,38
1.0,SEX OFFENSE,2005,25
1.0,SEX OFFENSE,2006,29
1.0,SEX OFFENSE,2007,29
1.0,SEX OFFENSE,2008,29
1.0,SEX OFFENSE,2009,28
1.0,SEX OFFENSE,2010,26
1.0,SEX OFFENSE,2011,22
1.0,SEX OFFENSE,2012,24
1.0,SEX OFFENSE,2013,33
1.0,SEX OFFENSE,2014,12
1.0,SEX OFFENSE,2015,20
1.0,SEX OFFENSE,2016,24
1.0,SEX OFFENSE,2017,27
1.0,SEX OFFENSE,2018,11
1.0,STALKING,2003,2
1.0,STALKING,2004,2
1.0,STALKING,2005,3
1.0,STALKING,2006,2
1.0,STALKING,2007,4
1.0,STALKING,2008,4
1.0,STALKING,2009,3
1.0,STALKING,2010,2
1.0,STALKING,2011,4
1.0,STALKING,2012,3
1.0,STALKING,2013,2
1.0,STALKING,2014,2
1.0,STALKING,2015,3
1.0,STALKING,2016,4
1.0,STALKING,2017,1
1.0,THEFT,2001,19
1.0,THEFT,2002,1178
1.0,THEFT,2003,1478
1.0,THEFT,2004,1509
1.0,THEFT,2005,1395
1.0,THEFT,2006,1474
1.0,THEFT,2007,1399
1.0,THEFT,2008,1227
1.0,THEFT,2009,1134
1.0,THEFT,2010,1171
1.0,THEFT,2011,1135
1.0,THEFT,2012,1049
1.0,THEFT,2013,1013
1.0,THEFT,2014,828
1.0,THEFT,2015,855
1.0,THEFT,2016,915
1.0,THEFT,2017,1211
1.0,THEFT,2018,348
1.0,WEAPONS VIOLATION,2002,39
1.0,WEAPONS VIOLATION,2003,65
1.0,WEAPONS VIOLATION,2004,48
1.0,WEAPONS VIOLATION,2005,61
1.0,WEAPONS VIOLATION,2006,51
1.0,WEAPONS VIOLATION,2007,47
1.0,WEAPONS VIOLATION,2008,49
1.0,WEAPONS VIOLATION,2009,49
1.0,WEAPONS VIOLATION,2010,50
1.0,WEAPONS VIOLATION,2011,43
1.0,WEAPONS VIOLATION,2012,73
1.0,WEAPONS VIOLATION,2013,56
1.0,WEAPONS VIOLATION,2014,40
1.0,WEAPONS VIOLATION,2015,29
1.0,WEAPONS VIOLATION,2016,34
1.0,WEAPONS VIOLATION,2017,36
1.0,WEAPONS VIOLATION,2018,13
2.0,ARSON,2002,11
2.0,ARSON,2003,6
2.0,ARSON,2004,8
2.0,ARSON,2005,7
2.0,ARSON,2006,5
2.0,ARSON,2007,8
2.0,ARSON,2008,8
2.0,ARSON,2009,9
2.0,ARSON,2010,10
2.0,ARSON,2011,9
2.0,ARSON,2012,4
2.0,ARSON,2013,2
2.0,ARSON,2014,1
2.0,ARSON,2015,4
2.0,ARSON,2016,3
2.0,ARSON,2017,1
2.0,ARSON,2018,3
2.0,ASSAULT,2002,212
2.0,ASSAULT,2003,269
2.0,ASSAULT,2004,259
2.0,ASSAULT,2005,272
2.0,ASSAULT,2006,289
2.0,ASSAULT,2007,263
2.0,ASSAULT,2008,314
2.0,ASSAULT,2009,254
2.0,ASSAULT,2010,268
2.0,ASSAULT,2011,204
2.0,ASSAULT,2012,254
2.0,ASSAULT,2013,227
2.0,ASSAULT,2014,204
2.0,ASSAULT,2015,168
2.0,ASSAULT,2016,203
2.0,ASSAULT,2017,241
2.0,ASSAULT,2018,90
2.0,BATTERY,2001,2
2.0,BATTERY,2002,586
2.0,BATTERY,2003,774
2.0,BATTERY,2004,833
2.0,BATTERY,2005,822
2.0,BATTERY,2006,836
2.0,BATTERY,2007,820
2.0,BATTERY,2008,843
2.0,BATTERY,2009,805
2.0,BATTERY,2010,733
2.0,BATTERY,2011,686
2.0,BATTERY,2012,658
2.0,BATTERY,2013,670
2.0,BATTERY,2014,594
2.0,BATTERY,2015,553
2.0,BATTERY,2016,553
2.0,BATTERY,2017,589
2.0,BATTERY,2018,215
2.0,BURGLARY,2002,307
2.0,BURGLARY,2003,333
2.0,BURGLARY,2004,417
2.0,BURGLARY,2005,455
2.0,BURGLARY,2006,472
2.0,BURGLARY,2007,340
2.0,BURGLARY,2008,363
2.0,BURGLARY,2009,417
2.0,BURGLARY,2010,446
2.0,BURGLARY,2011,433
2.0,BURGLARY,2012,348
2.0,BURGLARY,2013,260
2.0,BURGLARY,2014,277
2.0,BURGLARY,2015,238
2.0,BURGLARY,2016,195
2.0,BURGLARY,2017,193
2.0,BURGLARY,2018,93
2.0,CONCEALED CARRY LICENSE VIOLATION,2015,1
2.0,CRIM SEXUAL ASSAULT,2001,3
2.0,CRIM SEXUAL ASSAULT,2002,13
2.0,CRIM SEXUAL ASSAULT,2003,13
2.0,CRIM SEXUAL ASSAULT,2004,15
2.0,CRIM SEXUAL ASSAULT,2005,14
2.0,CRIM SEXUAL ASSAULT,2006,12
2.0,CRIM SEXUAL ASSAULT,2007,9
2.0,CRIM SEXUAL ASSAULT,2008,18
2.0,CRIM SEXUAL ASSAULT,2009,23
2.0,CRIM SEXUAL ASSAULT,2010,19
2.0,CRIM SEXUAL ASSAULT,2011,23
2.0,CRIM SEXUAL ASSAULT,2012,15
2.0,CRIM SEXUAL ASSAULT,2013,12
2.0,CRIM SEXUAL ASSAULT,2014,14
2.0,CRIM SEXUAL ASSAULT,2015,11
2.0,CRIM SEXUAL ASSAULT,2016,19
2.0,CRIM SEXUAL ASSAULT,2017,18
2.0,CRIM SEXUAL ASSAULT,2018,4
2.0,CRIMINAL DAMAGE,2002,590
2.0,CRIMINAL DAMAGE,2003,890
2.0,CRIMINAL DAMAGE,2004,964
2.0,CRIMINAL DAMAGE,2005,991
2.0,CRIMINAL DAMAGE,2006,1058
2.0,CRIMINAL DAMAGE,2007,977
2.0,CRIMINAL DAMAGE,2008,892
2.0,CRIMINAL DAMAGE,2009,779
2.0,CRIMINAL DAMAGE,2010,761
2.0,CRIMINAL DAMAGE,2011,626
2.0,CRIMINAL DAMAGE,2012,544
2.0,CRIMINAL DAMAGE,2013,494
2.0,CRIMINAL DAMAGE,2014,440
2.0,CRIMINAL DAMAGE,2015,434
2.0,CRIMINAL DAMAGE,2016,463
2.0,CRIMINAL DAMAGE,2017,485
2.0,CRIMINAL DAMAGE,2018,146
2.0,CRIMINAL TRESPASS,2002,64
2.0,CRIMINAL TRESPASS,2003,83
2.0,CRIMINAL TRESPASS,2004,84
2.0,CRIMINAL TRESPASS,2005,119
2.0,CRIMINAL TRESPASS,2006,123
2.0,CRIMINAL TRESPASS,2007,108
2.0,CRIMINAL TRESPASS,2008,102
2.0,CRIMINAL TRESPASS,2009,131
2.0,CRIMINAL TRESPASS,2010,98
2.0,CRIMINAL TRESPASS,2011,93
2.0,CRIMINAL TRESPASS,2012,68
2.0,CRIMINAL TRESPASS,2013,92
2.0,CRIMINAL TRESPASS,2014,80
2.0,CRIMINAL TRESPASS,2015,60
2.0,CRIMINAL TRESPASS,2016,81
2.0,CRIMINAL TRESPASS,2017,125
2.0,CRIMINAL TRESPASS,2018,21
2.0,DECEPTIVE PRACTICE,2001,6
2.0,DECEPTIVE PRACTICE,2002,186
2.0,DECEPTIVE PRACTICE,2003,235
2.0,DECEPTIVE PRACTICE,2004,193
2.0,DECEPTIVE PRACTICE,2005,172
2.0,DECEPTIVE PRACTICE,2006,210
2.0,DECEPTIVE PRACTICE,2007,197
2.0,DECEPTIVE PRACTICE,2008,233
2.0,DECEPTIVE PRACTICE,2009,218
2.0,DECEPTIVE PRACTICE,2010,157
2.0,DECEPTIVE PRACTICE,2011,192
2.0,DECEPTIVE PRACTICE,2012,171
2.0,DECEPTIVE PRACTICE,2013,176
2.0,DECEPTIVE PRACTICE,2014,206
2.0,DECEPTIVE PRACTICE,2015,199
2.0,DECEPTIVE PRACTICE,2016,283
2.0,DECEPTIVE PRACTICE,2017,293
2.0,DECEPTIVE PRACTICE,2018,98
2.0,GAMBLING,2002,6
2.0,GAMBLING,2003,9
2.0,GAMBLING,2004,11
2.0,GAMBLING,2005,9
2.0,GAMBLING,2006,8
2.0,GAMBLING,2007,5
2.0,GAMBLING,2008,9
2.0,GAMBLING,2009,5
2.0,GAMBLING,2012,3
2.0,GAMBLING,2014,1
2.0,GAMBLING,2015,4
2.0,GAMBLING,2017,1
2.0,GAMBLING,2018,2
2.0,HOMICIDE,2001,2
2.0,HOMICIDE,2003,1
2.0,HOMICIDE,2004,1
2.0,HOMICIDE,2005,2
2.0,HOMICIDE,2006,2
2.0,HOMICIDE,2007,8
2.0,HOMICIDE,2009,2
2.0,HOMICIDE,2010,1
2.0,HOMICIDE,2012,6
2.0,HOMICIDE,2013,1
2.0,HOMICIDE,2014,3
2.0,HOMICIDE,2015,4
2.0,HOMICIDE,2016,7
2.0,HOMICIDE,2017,2
2.0,HOMICIDE,2018,2
2.0,INTERFERENCE WITH PUBLIC OFFICER,2002,2
2.0,INTERFERENCE WITH PUBLIC OFFICER,2003,3
2.0,INTERFERENCE WITH PUBLIC OFFICER,2005,3
2.0,INTERFERENCE WITH PUBLIC OFFICER,2006,6
2.0,INTERFERENCE WITH PUBLIC OFFICER,2007,7
2.0,INTERFERENCE WITH PUBLIC OFFICER,2008,10
2.0,INTERFERENCE WITH PUBLIC OFFICER,2009,7
2.0,INTERFERENCE WITH PUBLIC OFFICER,2010,15
2.0,INTERFERENCE WITH PUBLIC OFFICER,2011,16
2.0,INTERFERENCE WITH PUBLIC OFFICER,2012,14
2.0,INTERFERENCE WITH PUBLIC OFFICER,2013,13
2.0,INTERFERENCE WITH PUBLIC OFFICER,2014,17
2.0,INTERFERENCE WITH PUBLIC OFFICER,2015,9
2.0,INTERFERENCE WITH PUBLIC OFFICER,2016,3
2.0,INTERFERENCE WITH PUBLIC OFFICER,2017,4
2.0,INTERFERENCE WITH PUBLIC OFFICER,2018,2
2.0,INTIMIDATION,2002,2
2.0,INTIMIDATION,2003,3
2.0,INTIMIDATION,2004,3
2.0,INTIMIDATION,2005,4
2.0,INTIMIDATION,2006,3
2.0,INTIMIDATION,2007,3
2.0,INTIMIDATION,2008,3
2.0,INTIMIDATION,2009,3
2.0,INTIMIDATION,2010,2
2.0,INTIMIDATION,2011,2
2.0,INTIMIDATION,2012,2
2.0,INTIMIDATION,2013,1
2.0,INTIMIDATION,2014,2
2.0,INTIMIDATION,2015,1
2.0,INTIMIDATION,2016,2
2.0,INTIMIDATION,2017,2
2.0,INTIMIDATION,2018,2
2.0,KIDNAPPING,2002,5
2.0,KIDNAPPING,2003,16
2.0,KIDNAPPING,2004,13
2.0,KIDNAPPING,2005,4
2.0,KIDNAPPING,2006,9
2.0,KIDNAPPING,2007,5
2.0,KIDNAPPING,2008,6
2.0,KIDNAPPING,2009,5
2.0,KIDNAPPING,2010,2
2.0,KIDNAPPING,2011,3
2.0,KIDNAPPING,2012,5
2.0,KIDNAPPING,2013,1
2.0,KIDNAPPING,2014,3
2.0,KIDNAPPING,2016,6
2.0,KIDNAPPING,2017,4
2.0,KIDNAPPING,2018,1
2.0,LIQUOR LAW VIOLATION,2002,15
2.0,LIQUOR LAW VIOLATION,2003,30
2.0,LIQUOR LAW VIOLATION,2004,18
2.0,LIQUOR LAW VIOLATION,2005,27
2.0,LIQUOR LAW VIOLATION,2006,17
2.0,LIQUOR LAW VIOLATION,2007,15
2.0,LIQUOR LAW VIOLATION,2008,12
2.0,LIQUOR LAW VIOLATION,2009,8
2.0,LIQUOR LAW VIOLATION,2010,12
2.0,LIQUOR LAW VIOLATION,2011,11
2.0,LIQUOR LAW VIOLATION,2012,7
2.0,LIQUOR LAW VIOLATION,2013,5
2.0,LIQUOR LAW VIOLATION,2014,5
2.0,LIQUOR LAW VIOLATION,2015,2
2.0,LIQUOR LAW VIOLATION,2016,8
2.0,LIQUOR LAW VIOLATION,2017,4
2.0,LIQUOR LAW VIOLATION,2018,7
2.0,MOTOR VEHICLE THEFT,2001,9
2.0,MOTOR VEHICLE THEFT,2002,270
2.0,MOTOR VEHICLE THEFT,2003,283
2.0,MOTOR VEHICLE THEFT,2004,446
2.0,MOTOR VEHICLE THEFT,2005,312
2.0,MOTOR VEHICLE THEFT,2006,254
2.0,MOTOR VEHICLE THEFT,2007,182
2.0,MOTOR VEHICLE THEFT,2008,223
2.0,MOTOR VEHICLE THEFT,2009,221
2.0,MOTOR VEHICLE THEFT,2010,258
2.0,MOTOR VEHICLE THEFT,2011,236
2.0,MOTOR VEHICLE THEFT,2012,201
2.0,MOTOR VEHICLE THEFT,2013,135
2.0,MOTOR VEHICLE THEFT,2014,137
2.0,MOTOR VEHICLE THEFT,2015,123
2.0,MOTOR VEHICLE THEFT,2016,165
2.0,MOTOR VEHICLE THEFT,2017,193
